"date","name","year","letterboxd_uri","rating","rewatch","tags","watched_date","dia_semana"
2020-04-13,"Baby Driver",2017,"https://boxd.it/159sJp",4,NA,NA,2020-04-11,"Saturday"
2020-04-13,"Abducted in Plain Sight",2017,"https://boxd.it/159vdr",3.5,NA,NA,2020-04-12,"Sunday"
2020-04-13,"Kill Bill: Vol. 1",2003,"https://boxd.it/15aFqd",4,NA,NA,2020-04-13,"Monday"
2020-04-17,"Focus",2015,"https://boxd.it/15EPBP",2,NA,NA,2020-04-16,"Thursday"
2020-04-20,"The Maker",2011,"https://boxd.it/1635XP",3.5,NA,NA,2020-04-19,"Sunday"
2020-04-21,"Battle Royale",2000,"https://boxd.it/16bjBp",4,NA,NA,2020-04-21,"Tuesday"
2020-04-25,"Big Fish",2003,"https://boxd.it/16zjdv",5,"Yes",NA,2020-04-23,"Thursday"
2020-04-25,"The Platform",2019,"https://boxd.it/16Dymb",3.5,NA,NA,2020-04-25,"Saturday"
2020-04-26,"The Lost Brother",2017,"https://boxd.it/16LP2j",4,NA,NA,2020-04-26,"Sunday"
2020-04-28,"The Grand Budapest Hotel",2014,"https://boxd.it/16YpWB",4.5,NA,NA,2020-04-26,"Sunday"
2020-04-29,"Portrait of a Lady on Fire",2019,"https://boxd.it/179v7V",4.5,NA,NA,2020-04-28,"Tuesday"
2020-05-02,"My Friend from the Park",2015,"https://boxd.it/17w03T",3,NA,NA,2020-05-01,"Friday"
2020-05-04,"The Half of It",2020,"https://boxd.it/17Odt7",3.5,NA,NA,2020-05-03,"Sunday"
2020-05-04,"The Witness",2018,"https://boxd.it/17OdOp",3.5,NA,NA,2020-05-03,"Sunday"
2020-05-05,"Unorthodox",2020,"https://boxd.it/17VisH",4,NA,NA,2020-05-04,"Monday"
2020-05-07,"Brick",2005,"https://boxd.it/18949p",3.5,NA,NA,2020-05-07,"Thursday"
2020-05-13,"Memories of Murder",2003,"https://boxd.it/18S793",3.5,NA,NA,2020-05-13,"Wednesday"
2020-05-14,"Whisky",2004,"https://boxd.it/18Yukl",4,NA,NA,2020-05-13,"Wednesday"
2020-05-18,"Hereditary",2018,"https://boxd.it/19lVtZ",4.5,NA,NA,2020-05-16,"Saturday"
2020-05-18,"Rope",1948,"https://boxd.it/19rhrL",4,NA,NA,2020-05-17,"Sunday"
2020-05-24,"John Wick",2014,"https://boxd.it/1a2or3",3,NA,NA,2020-05-21,"Thursday"
2020-05-24,"Isle of Dogs",2018,"https://boxd.it/1a2omH",4,NA,NA,2020-05-22,"Friday"
2020-05-26,"The Witness",2015,"https://boxd.it/1anAip",3,NA,NA,2020-05-25,"Monday"
2020-09-21,"I'm Thinking of Ending Things",2020,"https://boxd.it/1mDyfj",NA,NA,NA,2020-09-12,"Saturday"
2020-09-21,"Fargo",1996,"https://boxd.it/1mDymf",NA,NA,NA,2020-09-19,"Saturday"
2021-05-02,"The Mitchells vs. the Machines",2021,"https://boxd.it/1PK1PD",4,NA,NA,2021-05-01,"Saturday"
2021-05-09,"Wolfwalkers",2020,"https://boxd.it/1QJZJd",4,NA,NA,2021-05-09,"Sunday"
2021-05-17,"The Woman in the Window",2021,"https://boxd.it/1RITgr",2,NA,NA,2021-05-15,"Saturday"
2021-05-23,"Army of the Dead",2021,"https://boxd.it/1SyCgN",2.5,NA,NA,2021-05-21,"Friday"
2021-05-23,"Ex Machina",2015,"https://boxd.it/1SzQxl",4.5,NA,NA,2021-05-22,"Saturday"
2021-05-24,"Manchester by the Sea",2016,"https://boxd.it/1SKryv",4,NA,NA,2021-05-23,"Sunday"
2021-05-25,"Reservoir Dogs",1992,"https://boxd.it/1SSkyJ",3.5,NA,NA,2021-05-24,"Monday"
2021-05-26,"Coherence",2013,"https://boxd.it/1SZKGX",4,NA,NA,2021-05-25,"Tuesday"
2021-05-29,"Drive",2011,"https://boxd.it/1Tm2R9",4,NA,NA,2021-05-28,"Friday"
2021-05-30,"Friends: The Reunion",2021,"https://boxd.it/1TvrVX",NA,NA,NA,2021-05-29,"Saturday"
2021-06-05,"Bad Times at the El Royale",2018,"https://boxd.it/1UkErj",3.5,NA,NA,2021-06-05,"Saturday"
2021-06-06,"Bo Burnham: Inside",2021,"https://boxd.it/1UstIf",5,NA,NA,2021-06-05,"Saturday"
2021-06-18,"The Mole Agent",2020,"https://boxd.it/1VZjof",3.5,NA,NA,2021-06-17,"Thursday"
2021-06-20,"In the Heights",2021,"https://boxd.it/1WfwC7",3.5,NA,NA,2021-06-19,"Saturday"
2021-06-21,"Shiva Baby",2020,"https://boxd.it/1Wp6R1",3.5,NA,NA,2021-06-20,"Sunday"
2021-06-24,"Freaky",2020,"https://boxd.it/1WLLv5",3,NA,NA,2021-06-23,"Wednesday"
2021-06-26,"The Handmaiden",2016,"https://boxd.it/1X0qHp",4.5,NA,NA,2021-06-25,"Friday"
2021-07-05,"First Reformed",2017,"https://boxd.it/1YgB0n",4,NA,NA,2021-07-04,"Sunday"
2021-07-06,"The Usual Suspects",1995,"https://boxd.it/1Yqcj5",2.5,NA,NA,2021-07-05,"Monday"
2021-07-08,"The Tomorrow War",2021,"https://boxd.it/1YH4Qz",2.5,NA,NA,2021-07-07,"Wednesday"
2021-07-09,"Three Identical Strangers",2018,"https://boxd.it/1YOACD",4,NA,NA,2021-07-08,"Thursday"
2021-07-12,"Luca",2021,"https://boxd.it/1ZiAYf",3.5,NA,NA,2021-07-11,"Sunday"
2021-07-17,"The Game",1997,"https://boxd.it/201EMd",4,NA,NA,2021-07-16,"Friday"
2021-07-19,"Edge of Tomorrow",2014,"https://boxd.it/20nXN9",4,NA,NA,2021-07-18,"Sunday"
2021-07-21,"The Guest",2014,"https://boxd.it/20G66z",3.5,NA,NA,2021-07-20,"Tuesday"
2021-07-22,"Nightcrawler",2014,"https://boxd.it/20OhJj",4,NA,NA,2021-07-21,"Wednesday"
2021-07-26,"Cruella",2021,"https://boxd.it/21jjTx",2.5,NA,NA,2021-07-24,"Saturday"
2021-07-26,"Thoroughbreds",2017,"https://boxd.it/21pxz9",4,NA,NA,2021-07-25,"Sunday"
2021-07-31,"The King of Staten Island",2020,"https://boxd.it/226D6X",3.5,NA,NA,2021-07-30,"Friday"
2021-08-13,"Another Round",2020,"https://boxd.it/241dql",4,NA,NA,2021-08-12,"Thursday"
2021-08-15,"Happy Death Day 2U",2019,"https://boxd.it/24jX6H",3,NA,NA,2021-08-13,"Friday"
2021-08-21,"Jungle Cruise",2021,"https://boxd.it/259XXZ",2.5,NA,NA,2021-08-20,"Friday"
2021-10-26,"Dune",2021,"https://boxd.it/2ezJKF",3.5,NA,NA,2021-10-24,"Sunday"
2021-11-14,"Gunpowder Milkshake",2021,"https://boxd.it/2hIqGp",3,NA,NA,2021-11-14,"Sunday"
2021-11-28,"Raya and the Last Dragon",2021,"https://boxd.it/2jQVP7",3,NA,NA,2021-11-28,"Sunday"
2021-12-04,"Shang-Chi and the Legend of the Ten Rings",2021,"https://boxd.it/2kIxOd",3,NA,NA,2021-12-03,"Friday"
2021-12-09,"Black Widow",2021,"https://boxd.it/2lu77N",1.5,NA,NA,2021-12-08,"Wednesday"
2021-12-13,"Thor: Ragnarok",2017,"https://boxd.it/2m6UlP",3.5,NA,NA,2021-12-12,"Sunday"
2021-12-20,"Spider-Man: No Way Home",2021,"https://boxd.it/2nepsZ",4,NA,NA,2021-12-19,"Sunday"
2021-12-24,"The Shawshank Redemption",1994,"https://boxd.it/2o4SSB",4.5,NA,NA,2021-12-24,"Friday"
2022-01-02,"Don't Look Up",2021,"https://boxd.it/2qvn85",2.5,NA,NA,2022-01-01,"Saturday"
2022-01-03,"tick, tick... BOOM!",2021,"https://boxd.it/2qO76Z",4,NA,NA,2022-01-02,"Sunday"
2022-01-05,"Love Actually",2003,"https://boxd.it/2rmWnP",3.5,NA,NA,2022-01-04,"Tuesday"
2022-01-09,"Encanto",2021,"https://boxd.it/2sjSJl",3,NA,NA,2022-01-08,"Saturday"
2022-01-10,"Ant-Man and the Wasp",2018,"https://boxd.it/2sw9vJ",3,NA,NA,2022-01-08,"Saturday"
2022-01-11,"A Quiet Place",2018,"https://boxd.it/2sUCZV",4,NA,NA,2022-01-10,"Monday"
2022-01-12,"Stoker",2013,"https://boxd.it/2taGld",4,NA,NA,2022-01-11,"Tuesday"
2022-01-13,"Nobody",2021,"https://boxd.it/2trDT1",3,NA,NA,2022-01-12,"Wednesday"
2022-01-14,"Free Guy",2021,"https://boxd.it/2tFxEx",3,NA,NA,2022-01-13,"Thursday"
