Date,Name,Year,Letterboxd URI
2020-03-19,Parasite,2019,https://boxd.it/hTha
2020-03-19,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-03-19,1917,2019,https://boxd.it/jj4y
2020-03-19,Little Women,2019,https://boxd.it/aSVk
2020-03-19,Joker,2019,https://boxd.it/h4cS
2020-03-19,Midsommar,2019,https://boxd.it/jhxe
2020-03-19,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2020-03-19,Whiplash,2014,https://boxd.it/7bQA
2020-03-19,Inception,2010,https://boxd.it/1skk
2020-03-19,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-03-19,Get Out,2017,https://boxd.it/eOCm
2020-03-19,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2020-03-19,Gone Girl,2014,https://boxd.it/6hQu
2020-03-20,The Skin I Live In,2011,https://boxd.it/99A
2020-03-20,Pan's Labyrinth,2006,https://boxd.it/28No
2020-03-20,Knives Out,2019,https://boxd.it/jWEA
2020-03-21,Marriage Story,2019,https://boxd.it/hJAw
2020-03-21,My Neighbor Totoro,1988,https://boxd.it/20eA
2020-03-23,Twin Murders: The Silence of the White City,2019,https://boxd.it/jNHq
2020-03-24,The Favourite,2018,https://boxd.it/d2hI
2020-03-25,Uncut Gems,2019,https://boxd.it/gXGc
2020-03-26,Logan Lucky,2017,https://boxd.it/dZrs
2020-03-27,The Invitation,2015,https://boxd.it/9OUU
2020-03-28,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-03-28,Pulp Fiction,1994,https://boxd.it/29Pq
2020-03-29,The Hunt,2020,https://boxd.it/iE9i
2020-03-29,The Perfection,2018,https://boxd.it/jgxW
2020-03-30,Billy Elliot,2000,https://boxd.it/2bdy
2020-03-30,The Breakfast Club,1985,https://boxd.it/27q4
2020-03-30,10 Things I Hate About You,1999,https://boxd.it/23AO
2020-03-30,The Warriors,1979,https://boxd.it/1TLC
2020-03-31,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0
